level,oik,tik,uik,"Число избирателей, внесенных в список избирателей на момент окончания голосования","Число избирательных бюллетеней, полученных участковой избирательной комиссией","Число избирательных бюллетеней, выданных избирателям в помещении для голосования в день голосования","Число избирательных бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования",Число погашенных избирательных бюллетеней,"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования","Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования",Число недействительных избирательных бюллетеней,Число действительных избирательных бюллетеней,"Число открепительных удостоверений, полученных участковой избирательной комиссией","Число открепительных удостоверений, выданных участковой избирательной комиссией избирателям","Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке",Число погашенных на избирательном участке открепительных удостоверений,"Число открепительных удостоверений, выданных территориальной комиссией избирателям",Число утраченных открепительных удостоверений,Число утраченных избирательных бюллетеней,"Число избирательных бюллетеней, не учтенных при получении",Вишневский Борис Геннадьевич,Вишневский Борис Иванович,Вишневский Борис Лазаревич,Евсеев Александр Иванович,Костров Ярослав Всеволодович,Лебедева Екатерина Олеговна,Ржаненков Александр Николаевич,Садовская Дарья Сергеевна,Суходольский Вадим Александрович,url
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2185,1691,1500,498,27,975,27,497,12,512,0,0,0,0,0,0,0,0,8,3,144,38,51,24,166,60,18,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2186,2035,1500,629,48,823,48,629,24,653,0,0,0,0,0,0,0,0,15,11,171,54,80,32,210,54,26,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2187,1369,1000,509,10,481,10,507,17,500,0,0,0,0,0,0,0,0,7,7,167,38,63,31,126,46,15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2188,1371,1000,430,8,562,8,428,12,424,0,0,0,0,0,0,0,0,8,9,152,49,55,17,81,40,13,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2189,1398,1000,556,17,427,17,483,18,482,0,0,0,0,0,0,0,0,9,8,170,43,66,16,122,29,19,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2190,1558,1500,503,14,983,14,502,20,496,0,0,0,0,0,0,0,0,6,5,162,46,62,29,126,39,21,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2191,1191,1000,351,4,645,4,349,12,341,0,0,0,0,0,0,0,0,1,2,106,31,39,13,119,21,9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2192,1787,1500,527,9,964,9,525,17,517,0,0,0,0,0,0,0,0,8,13,193,34,62,27,127,40,13,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2193,2004,1500,659,9,832,9,659,9,659,0,0,0,0,0,0,0,0,6,3,97,24,48,24,407,30,20,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2194,2379,2000,685,18,1297,18,681,26,673,0,0,0,0,0,0,0,0,10,6,223,66,70,32,175,76,15,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2195,1430,1250,453,19,778,19,453,12,460,0,0,0,0,0,0,0,0,4,4,146,31,40,13,181,32,9,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2196,1808,1500,620,11,869,11,619,15,615,0,0,0,0,0,0,0,0,3,7,120,32,45,8,360,30,10,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
Санкт-Петербургская избирательная комиссия,ОИК №2,Территориальная избирательная комиссия №16,УИК №2197,1387,1000,383,27,590,27,379,23,383,0,0,0,0,0,0,0,0,2,4,117,34,34,27,130,25,10,http://www.vybory.izbirkom.ru/region/izbirkom?action=show&root=782000002&tvd=27820001916933&vrn=27820001915220&prver=0&pronetvd=null&region=78&sub_region=78
