flats;metro_distances;districts;prices;prices_per_meter;meters;materials
0;90;Ленинградская область;6352500;105000;60,5;Кирпичный
1;12;Приморский;11000000;182119;60,40006809;Кирпичный
2;9;Ленинградская область;10350000;150000;69;Кирпичный
3;18;Ленинградская область;6900000;119377;57,80007874;Кирпичный
4;12;Петроградский;10900000;200000;54,5;Кирпичный
5;15;Василеостровский;9170416;222475;41,21998427;Кирпичный
6;18;Приморский;6533143;188275;34,70000266;Кирпичный
7;39;Ленинградская область;9490000;147589;64,30018497;Кирпичный
8;3;Петроградский;14900000;267025;55,80001872;Кирпичный
9;2;Центральный;15500000;246815;62,80007293;Кирпичный
10;69;Ленинградская область;5299000;133476;39,70002098;Кирпичный
11;13;Центральный;27000000;290323;92,99986567;Кирпичный
12;9;Петроградский;31256280;396000;78,93;Кирпичный
13;36;Петроградский;58049000;1067077;54,4000105;Кирпичный
14;105;Курортный;9950000;199000;50;Кирпичный
15;5;Центральный;90000000;818182;109,9999756;Кирпичный
16;18;Выборгский;15672250;205000;76,45;Кирпичный
17;16;Ленинградская область;3600000;71006;50,69994085;Кирпичный
18;4;Центральный;21500000;293315;73,3000358;Кирпичный
19;36;Ленинградская область;5320709;168164;31,64000024;Кирпичный
20;24;Красногвардейский;6750000;153409;44,00002607;Кирпичный
21;5;Адмиралтейский;19800000;324590;61,00003081;Кирпичный
22;9;Кировский;13900000;193324;71,90002276;Кирпичный
23;12;Невский;7298237;135028;54,04980448;Кирпичный
24;20;Василеостровский;11500000;216981;53,00003226;Кирпичный
25;75;Кронштадтский;6800000;93151;72,99975309;Кирпичный
26;30;Выборгский;8450000;182900;46,20010935;Кирпичный
27;15;Выборгский;18490000;161344;114,5998612;Кирпичный
28;30;Калининский;9600000;171123;56,09999825;Кирпичный
29;60;Красносельский;8022000;148556;53,99983844;Кирпичный
30;90;Ленинградская область;5903641;103700;56,93;Кирпичный
31;6;Василеостровский;9500000;156766;60,59987497;Кирпичный
32;5;Красногвардейский;11500000;189988;60,53013875;Кирпичный
33;12;Красногвардейский;10000000;183486;54,50007085;Кирпичный
34;13;Выборгский;7900000;175556;44,99988608;Кирпичный
35;11;Василеостровский;9100000;189583;48,0000844;Кирпичный
36;12;Центральный;12800000;151659;84,39987076;Кирпичный
37;13;Василеостровский;12500000;252525;49,5000495;Кирпичный
38;12;Приморский;20500000;305514;67,1000347;Кирпичный
39;8;Невский;11050000;199819;55,30004654;Кирпичный
40;2;Московский;13390000;181436;73,80012787;Кирпичный
41;5;Василеостровский;10000000;203252;49,20000787;Кирпичный
42;10;Фрунзенский;10490000;187321;56,00012812;Кирпичный
43;15;Выборгский;18900000;225537;83,79999734;Кирпичный
44;6;Василеостровский;13800000;204748;67,39992576;Кирпичный
45;7;Калининский;7500000;144509;51,89988167;Кирпичный
46;13;Василеостровский;8500000;137097;61,99989788;Кирпичный
47;18;Адмиралтейский;8200000;160784;51,00009951;Кирпичный
48;10;Адмиралтейский;9800000;174688;56,10001832;Кирпичный
49;12;Петроградский;16500000;317919;51,90001227;Кирпичный
50;6;Центральный;17000000;207317;82,00002894;Кирпичный
51;11;Василеостровский;11990000;169590;70,69992334;Кирпичный
52;6;Выборгский;8990000;139596;64,40012608;Кирпичный
53;5;Фрунзенский;8000000;168421;47,50001484;Кирпичный
54;9;Василеостровский;10200000;201581;50,60000695;Кирпичный
55;5;Центральный;18900000;339318;55,69996287;Кирпичный
56;9;Московский;12100000;228302;52,99997372;Кирпичный
57;11;Петроградский;21100000;263750;80;Кирпичный
58;4;Петроградский;12650000;286199;44,20001468;Кирпичный
59;30;Калининский;9990000;178393;55,99995516;Кирпичный
60;12;Красногвардейский;8900000;193478;46,00006202;Кирпичный
61;18;Василеостровский;15000000;283019;52,99997527;Кирпичный
62;16;Красносельский;5200000;100971;51,49993563;Кирпичный
63;10;Кировский;6500000;134021;48,49986196;Кирпичный
64;30;Центральный;10000000;242718;41,20007581;Кирпичный
65;6;Адмиралтейский;11700000;195000;60;Кирпичный
66;20;Адмиралтейский;8990000;176621;50,89994961;Кирпичный
67;10;Кировский;13800000;188525;73,19984087;Кирпичный
68;20;Невский;8550000;150000;57;Кирпичный
69;10;Адмиралтейский;35250000;470000;75;Кирпичный
70;10;Василеостровский;11900000;215580;55,19992578;Кирпичный
71;6;Московский;15000000;189394;79,19997466;Кирпичный
72;5;Московский;23700000;292954;80,90007305;Кирпичный
73;13;Приморский;12700000;199686;63,59985177;Кирпичный
74;11;Центральный;60000000;480000;125;Кирпичный
75;75;Курортный;8600000;176955;48,59992653;Кирпичный
76;9;Фрунзенский;12500301;198355;63,01984321;Кирпичный
77;14;Фрунзенский;9850000;129605;76,00015432;Кирпичный
78;15;Фрунзенский;19500000;184484;105,7002233;Кирпичный
79;36;Красносельский;10000000;166667;59,99988;Кирпичный
80;7;Центральный;50000000;679348;73,59998116;Кирпичный
81;3;Приморский;12800000;224561;57,00010242;Кирпичный
82;11;Красногвардейский;5250000;123529;42,50014167;Кирпичный
83;4;Кировский;8000000;158416;50,4999495;Кирпичный
84;5;Московский;16500000;293594;56,20005858;Кирпичный
85;12;Выборгский;8430000;182468;46,19988162;Кирпичный
86;5;Центральный;15300000;240945;63,49996887;Кирпичный
87;10;Адмиралтейский;12950000;253922;50,99991336;Кирпичный
88;15;Невский;7400000;151951;48,69990984;Кирпичный
89;10;Адмиралтейский;11400000;184765;61,69999729;Кирпичный
90;27;Ленинградская область;8990000;163158;55,09996445;Кирпичный
91;150;Ленинградская область;5000000;121951;41,0000738;Кирпичный
92;105;Ленинградская область;8800000;139683;62,99979239;Кирпичный
93;6;Адмиралтейский;16950000;232510;72,90009032;Кирпичный
94;5;Московский;13500000;196793;68,60000102;Кирпичный
95;75;Кронштадтский;4500000;112500;40;Кирпичный
96;90;Кронштадтский;7300000;90347;80,79958383;Кирпичный
97;84;Кронштадтский;5150000;124697;41,30011147;Кирпичный
98;20;Выборгский;8450000;165362;51,10001089;Кирпичный
99;10;Калининский;8000000;173160;46,2000462;Кирпичный
100;36;Петроградский;38600000;384462;100,4000395;Кирпичный
101;12;Кировский;7000000;162791;42,99992014;Кирпичный
102;13;Адмиралтейский;10500000;210000;50;Кирпичный
103;4;Петроградский;12950000;186599;69,40015756;Кирпичный
104;19;Петроградский;18400000;288040;63,88001666;Кирпичный
105;17;Выборгский;7299000;169744;43,00004713;Кирпичный
106;19;Фрунзенский;8000000;169133;47,3000538;Кирпичный
107;10;Приморский;9490000;187179;50,70013196;Кирпичный
108;10;Центральный;24500000;290284;84,40010473;Кирпичный
109;6;Центральный;14500000;182390;79,49997259;Кирпичный
110;27;Красносельский;8990000;139380;64,49992825;Кирпичный
111;12;Московский;9990000;178393;55,99995516;Кирпичный
112;7;Петроградский;20700000;282787;73,1999703;Кирпичный
113;5;Центральный;13500000;240642;56,09993268;Кирпичный
114;15;Василеостровский;9990000;165919;60,21010252;Кирпичный
115;12;Выборгский;10900000;176375;61,80014174;Кирпичный
116;10;Центральный;29990000;295759;101,4001265;Кирпичный
117;5;Центральный;33500000;322115;104,0001242;Кирпичный
118;45;Пушкинский;8900000;203661;43,70007021;Кирпичный
119;7;Московский;6790000;157541;43,09989146;Кирпичный
120;10;Невский;10340000;181722;56,90010015;Кирпичный
121;10;Московский;16000000;293040;54,6000546;Кирпичный
122;11;Адмиралтейский;10270000;133204;77,09978679;Кирпичный
123;6;Петроградский;14000000;255474;54,80009707;Кирпичный
124;11;Петроградский;13800000;172500;80;Кирпичный
125;30;Красногвардейский;5800000;134884;42,99991103;Кирпичный
126;4;Выборгский;11999000;167584;71,59991407;Кирпичный
127;10;Кировский;9000000;180000;50;Кирпичный
128;9;Центральный;18900000;187129;100,999845;Кирпичный
129;10;Фрунзенский;7900000;151923;52,00002633;Кирпичный
130;10;Центральный;19490000;211848;91,99992447;Кирпичный
131;45;Пушкинский;6300000;139073;45,29995039;Кирпичный
132;5;Петроградский;11900000;198333;60,00010084;Кирпичный
133;15;Выборгский;8480000;185965;45,59997849;Кирпичный
134;10;Василеостровский;13900000;215839;64,39985359;Кирпичный
135;7;Красногвардейский;4900000;113953;43,00018429;Кирпичный
136;30;Пушкинский;7700000;163482;47,09998654;Кирпичный
137;75;Кронштадтский;5890000;118511;49,70002785;Кирпичный
138;11;Центральный;10500000;172131;61,00005229;Кирпичный
139;10;Приморский;13950000;222134;62,79993157;Кирпичный
140;15;Красногвардейский;7550000;139042;54,30013953;Кирпичный
141;15;Выборгский;14500000;210756;68,79993927;Кирпичный
142;12;Кировский;6990000;160690;43,49990665;Кирпичный
143;81;Кронштадтский;5150000;98659;52,20000203;Кирпичный
144;5;Невский;7100000;165501;42,9000429;Кирпичный
145;13;Ленинградская область;4600000;100218;45,89993813;Кирпичный
146;20;Приморский;11330000;186043;60,89989949;Кирпичный
147;5;Центральный;35000000;388027;90,19990877;Кирпичный
148;2;Центральный;18490000;214253;86,29984178;Кирпичный
149;3;Центральный;26000000;271967;95,5998338;Кирпичный
150;13;Адмиралтейский;33300000;452446;73,59994342;Кирпичный
151;6;Адмиралтейский;17000000;242857;70,00004118;Кирпичный
152;5;Центральный;15000000;228659;65,59986705;Кирпичный
153;12;Василеостровский;15650000;215565;72,59991186;Кирпичный
154;2;Московский;9800000;181481;54,00014327;Кирпичный
155;18;Приморский;9400000;187251;50,19999893;Кирпичный
156;5;Калининский;11200000;224000;50;Кирпичный
157;7;Центральный;37500000;576923;65,00000867;Кирпичный
158;7;Приморский;14300000;170441;83,90000059;Кирпичный
159;11;Фрунзенский;8900000;206977;42,99994685;Кирпичный
160;9;Выборгский;8100000;188372;43,00002123;Кирпичный
161;5;Центральный;30000000;333333;90,00009;Кирпичный
162;81;Кронштадтский;6000000;120000;50;Кирпичный
163;21;Красногвардейский;6300000;178977;35,20005364;Кирпичный
164;90;Петродворцовый;8950000;154310;58,00012961;Кирпичный
165;81;Курортный;9290000;167993;55,29992321;Кирпичный
166;18;Кировский;10850000;208253;52,10008979;Кирпичный
167;8;Московский;21500000;317109;67,8000309;Кирпичный
168;75;Кронштадтский;9650000;111047;86,90014138;Кирпичный
169;60;Ленинградская область;3650000;85082;42,89979079;Кирпичный
170;60;Красногвардейский;6200000;176136;35,20007267;Кирпичный
171;9;Петроградский;27153000;350000;77,58;Кирпичный
172;81;Ленинградская область;3449000;76644;45,00026095;Кирпичный
173;4;Кировский;9900000;155906;63,49980116;Кирпичный
174;7;Адмиралтейский;18000000;223602;80,50017442;Кирпичный
175;14;Фрунзенский;10200000;185488;54,99008022;Кирпичный
176;9;Колпинский;7300000;118123;61,79998815;Кирпичный
177;45;Ленинградская область;7800000;141304;55,20013588;Кирпичный
178;20;Невский;12990000;177945;73,0000843;Кирпичный
179;2;Центральный;13500000;236842;57,00002533;Кирпичный
180;45;Невский;9000000;150000;60;Кирпичный
181;45;Ленинградская область;7800000;141304;55,20013588;Кирпичный
182;3;Выборгский;12700000;198438;63,99983874;Кирпичный
183;7;Центральный;15300000;207317;73,80002605;Кирпичный
184;11;Адмиралтейский;22460000;277284;80,99998557;Кирпичный
185;12;Выборгский;12790000;229047;55,84006776;Кирпичный
186;5;Кировский;8100000;174946;46,30000114;Кирпичный
187;10;Кировский;9700000;143917;67,3999597;Кирпичный
188;15;Московский;9999000;217370;45,99990799;Кирпичный
189;12;Московский;11400000;243070;46,90006994;Кирпичный
190;10;Адмиралтейский;15790000;288665;54,70008487;Кирпичный
191;5;Центральный;16000000;262295;61,00001906;Кирпичный
192;9;Ленинградская область;8500000;142617;59,60018792;Кирпичный
193;2;Василеостровский;13940000;198575;70,20017626;Кирпичный
194;12;Калининский;9200000;176245;52,20006241;Кирпичный
195;9;Центральный;19700000;204357;96,39992758;Кирпичный
196;2;Московский;6800000;163462;41,59988254;Кирпичный
197;16;Адмиралтейский;10000000;184502;54,19995447;Кирпичный
198;6;Московский;13900000;257407;54,00008547;Кирпичный
199;10;Адмиралтейский;12999000;176377;73,70008561;Кирпичный
200;10;Петроградский;13950000;185752;75,10013351;Кирпичный
201;3;Центральный;18800000;256480;73,30006238;Кирпичный
202;9;Петроградский;19800000;225256;87,89998935;Кирпичный
203;9;Василеостровский;11980000;213929;55,99988781;Кирпичный
204;5;Адмиралтейский;13900000;187838;73,99993612;Кирпичный
205;5;Центральный;13500000;143923;93,80015703;Кирпичный
206;10;Адмиралтейский;10700000;239910;44,60005836;Кирпичный
207;5;Кировский;9500000;175277;54,19992355;Кирпичный
208;15;Калининский;7600000;171558;44,29988692;Кирпичный
209;15;Приморский;9500000;163230;58,20008577;Кирпичный
210;75;Ленинградская область;7200000;122241;58,90004172;Кирпичный
211;120;Ленинградская область;4360000;90456;48,20022995;Кирпичный
212;90;Красносельский;8820000;147000;60;Кирпичный
213;9;Выборгский;7100000;166276;42,70008901;Кирпичный
214;15;Кировский;7000000;179487;39,000039;Кирпичный
215;36;Ленинградская область;7403425;135099;54,79999852;Кирпичный
216;9;Кировский;9500000;158333;60,00012632;Кирпичный
217;30;Фрунзенский;9200000;156997;58,59984586;Кирпичный
218;20;Калининский;12290000;174574;70,39994501;Кирпичный
219;20;Кировский;13300000;174084;76,3998989;Кирпичный
220;30;Невский;7990000;140917;56,70004329;Кирпичный
221;15;Приморский;11650000;204386;56,99999021;Кирпичный
222;16;Невский;7350000;145257;50,59997109;Кирпичный
223;7;Центральный;12500000;206954;60,39989563;Кирпичный
224;11;Приморский;7950000;139474;56,99987094;Кирпичный
225;15;Невский;7000000;128676;54,40019895;Кирпичный
226;15;Выборгский;21400000;237778;89,99991589;Кирпичный
227;9;Петродворцовый;5950000;138372;43,00002891;Кирпичный
228;45;Красногвардейский;13500000;205479;65,70014454;Кирпичный
229;15;Центральный;13800000;149351;92,39978306;Кирпичный
230;9;Василеостровский;10200000;210744;48,39995445;Кирпичный
231;2;Петроградский;16000000;195122;81,9999795;Кирпичный
232;4;Колпинский;4000000;74074;54,000054;Кирпичный
233;10;Адмиралтейский;9990000;186034;53,69986132;Кирпичный
234;81;Курортный;8850000;172515;51,29988697;Кирпичный
235;5;Центральный;12000000;240964;49,79997012;Кирпичный
236;2;Выборгский;15500000;217697;71,19987873;Кирпичный
237;1;Петроградский;39999000;360351;111,0001082;Кирпичный
238;9;Петродворцовый;6500000;125969;51,59999682;Кирпичный
239;13;Адмиралтейский;19100000;269014;71,0000223;Кирпичный
240;5;Петроградский;13200000;253846;52,00003152;Кирпичный
241;1;Московский;12900000;222414;57,99994605;Кирпичный
242;2;Василеостровский;22990000;225613;101,9001565;Кирпичный
243;6;Адмиралтейский;12990000;194461;66,80002674;Кирпичный
244;75;Выборгский;6250000;126263;49,49985348;Кирпичный
245;15;Московский;16500000;233380;70,70014569;Кирпичный
246;15;Ленинградская область;9200000;124324;74,00019304;Кирпичный
247;3;Центральный;39990000;380857;105,0000394;Кирпичный
248;4;Невский;7000000;140987;49,64996773;Кирпичный
249;5;Московский;16500000;255814;64,49998827;Кирпичный
250;6;Центральный;19500000;263158;74,09997036;Кирпичный
251;6;Центральный;23500000;261111;90,0000383;Кирпичный
252;12;Адмиралтейский;12500000;174581;71,60000229;Кирпичный
253;10;Центральный;7650000;139854;54,69990133;Кирпичный
254;3;Адмиралтейский;9750000;216667;44,99993077;Кирпичный
255;12;Адмиралтейский;16000000;293040;54,6000546;Кирпичный
256;11;Московский;16500000;210459;78,40006842;Кирпичный
257;20;Выборгский;9500000;175926;53,99997726;Кирпичный
258;12;Выборгский;7800000;159184;48,99989949;Кирпичный
259;5;Адмиралтейский;15900000;239819;66,30000125;Кирпичный
260;8;Центральный;16000000;228245;70,10011172;Кирпичный
261;18;Петроградский;25000000;396197;63,09992251;Кирпичный
262;72;Пушкинский;5200000;167742;30,99998808;Кирпичный
263;20;Василеостровский;11499500;220720;52,09994563;Кирпичный
