;metro_distances;districts;prices;prices_per_meter;meters;materials;heights;floors
0;75;Ленинградская область;4000000;108401;36,9000286;Кирпичный;1;1
1;120;Ленинградская область;9550000;175551;54,40014583;Кирпичный;1;1
2;6;Центральный;18000000;335821;53,59998332;Кирпичный;1;1
3;120;Ленинградская область;1850000;45679;40,50001095;Кирпичный;1;1
4;6;Василеостровский;9500000;156766;60,59987497;Кирпичный;2;1
5;90;Курортный;6100000;140230;43,49996434;Кирпичный;2;1
6;7;Красногвардейский;4900000;113953;43,00018429;Кирпичный;2;1
7;11;Приморский;7950000;139474;56,99987094;Кирпичный;2;1
8;120;Кронштадтский;6600000;88949;74,19982237;Кирпичный;2;1
9;12;Василеостровский;7150000;158186;45,19995448;Кирпичный;2;1
10;120;Ленинградская область;5300000;97786;54,19998773;Кирпичный;2;1
11;17;Курортный;6809000;156529;43,49992653;Кирпичный;2;1
12;105;Кронштадтский;4600000;117949;38,99990674;Кирпичный;2;1
13;18;Ленинградская область;3999000;91301;43,80017744;Кирпичный;2;1
14;180;Ленинградская область;890000;20227;44,00059327;Кирпичный;2;1
15;66;Ленинградская область;5750000;106285;54,09982594;Кирпичный;2;1
16;54;Выборгский;5000000;82508;60,60018422;Кирпичный;2;1
17;81;Ленинградская область;5150000;83876;61,40016214;Кирпичный;2;1
18;18;Курортный;4500000;102975;43,69992717;Кирпичный;2;1
19;78;Курортный;6650000;154651;43,00004526;Кирпичный;2;1
20;66;Курортный;4750000;106502;44,60010141;Кирпичный;2;1
21;90;Ленинградская область;4300000;71192;60,40004495;Кирпичный;2;1
22;75;Курортный;5200000;127764;40,7000407;Кирпичный;2;1
23;96;Ленинградская область;3600000;94737;37,99993667;Кирпичный;2;1
24;90;Ленинградская область;4200000;95890;43,80018772;Кирпичный;2;1
25;10;Кировский;7549000;152814;49,39992409;Кирпичный;2;1
26;120;Ленинградская область;3690000;79355;46,49990549;Кирпичный;2;1
27;13;Невский;6300000;129098;48,80013633;Кирпичный;2;1
28;54;Ленинградская область;3797999;73038;52,0003149;Кирпичный;2;1
29;30;Красногвардейский;6300000;128310;49,09983633;Кирпичный;2;1
30;90;Петродворцовый;12990000;227496;57,09990505;Кирпичный;2;1
31;150;Ленинградская область;4500000;85227;52,80016896;Кирпичный;2;1
32;288;Ленинградская область;950000;22093;43,00004526;Кирпичный;2;1
33;120;Ленинградская область;1350000;29476;45,79997286;Кирпичный;2;1
